,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,800.0,36080.10546875,30852.63671875,4477.646484375,11889.7490234375,11847.7353515625,19029.574609375,13645.69471396078
1,rollout/ep_rew_mean,1600.0,34990.0546875,34801.31640625,2238.8232421875,10919.8740234375,5923.86767578125,17774.78720703125,15930.069332897043
2,rollout/ep_rew_mean,2400.0,34926.703125,36117.546875,1492.5487060546875,10488.25,3949.2451171875,17394.858764648438,16876.565504697992
3,rollout/ep_rew_mean,3200.0,34751.27734375,35594.41015625,1119.41162109375,10153.6875,2961.933837890625,16916.144091796876,17007.036492335686
4,rollout/ep_rew_mean,4000.0,35936.01953125,35465.52734375,895.5292358398438,9752.9501953125,2369.547119140625,16883.914685058593,17502.892744724315
5,rollout/ep_rew_mean,4800.0,38134.18359375,34904.60546875,746.2743530273438,9585.791015625,1974.62255859375,17069.09539794922,18111.60402769174
6,rollout/ep_rew_mean,5600.0,38554.30078125,36186.08984375,639.6637573242188,9323.53515625,1692.5335693359375,17279.22462158203,18662.8731490572
7,rollout/ep_rew_mean,6400.0,38691.26171875,37490.953125,559.705810546875,9336.21875,1480.9669189453125,17511.82126464844,19098.019489871276
8,rollout/ep_rew_mean,7200.0,38372.7890625,37128.0703125,497.5162353515625,9459.9716796875,1316.4150390625,17354.95246582031,18950.35755105064
9,rollout/ep_rew_mean,8000.0,38090.51171875,37297.76171875,447.7646179199219,9461.474609375,1184.7735595703125,17296.457244873047,18955.847576873497
10,rollout/ep_rew_mean,8800.0,37884.5546875,37259.33203125,407.0587463378906,9305.88671875,1077.06689453125,17186.779815673828,18937.367838900667
11,rollout/ep_rew_mean,9600.0,38196.2578125,37087.71875,373.1371765136719,9201.2294921875,987.311279296875,17169.13090209961,19015.351379698026
12,rollout/ep_rew_mean,10400.0,38181.16015625,37382.89453125,344.434326171875,8993.4423828125,911.3642578125,17162.659130859374,19133.273882884314
13,rollout/ep_rew_mean,11200.0,37945.0078125,37709.1171875,319.8318786621094,9006.41015625,846.2667846679688,17165.326763916015,19173.502589480624
14,rollout/ep_rew_mean,12000.0,37815.33984375,37685.17578125,298.5097351074219,9152.650390625,789.8489990234375,17148.304949951173,19133.31235408312
15,rollout/ep_rew_mean,12800.0,38220.6328125,37870.4765625,279.8529052734375,9161.859375,740.4834594726562,17254.661022949218,19306.342437033592
16,rollout/ep_rew_mean,13600.0,38084.125,37404.56640625,263.3909606933594,9084.69140625,696.9255981445312,17106.73987426758,19166.286269516495
17,rollout/ep_rew_mean,14400.0,38514.171875,36930.703125,248.75811767578125,9099.4306640625,658.20751953125,17090.254260253907,19171.131104301396
18,rollout/ep_rew_mean,15200.0,37821.3203125,37243.55859375,235.66558837890625,8991.5654296875,623.5650024414062,16983.134985351564,19083.325035954953
19,rollout/ep_rew_mean,16000.0,37667.75390625,37257.6328125,223.88230895996094,9018.2373046875,592.3867797851562,16951.978622436523,19051.72328507287
20,rollout/ep_rew_mean,16800.0,37719.2890625,37201.31640625,213.22125244140625,8962.607421875,564.1778564453125,16932.122399902342,19064.96103239414
21,rollout/ep_rew_mean,17600.0,37987.73046875,37350.12109375,203.5293731689453,8917.7158203125,538.533447265625,16999.526040649413,19190.08130377524
22,rollout/ep_rew_mean,18400.0,38041.52734375,37304.4609375,194.68026733398438,8873.4677734375,515.118896484375,16985.851043701172,19204.33940740321
23,rollout/ep_rew_mean,19200.0,37864.796875,36979.27734375,186.56858825683594,8883.9482421875,493.6556396484375,16881.649337768555,19075.26155477712
24,rollout/ep_rew_mean,20000.0,37948.203125,36887.10546875,179.10585021972656,8922.58984375,473.9093933105469,16882.182736206054,19075.85829736187
25,rollout/ep_rew_mean,20800.0,38101.0,37122.0,0.0,8789.0,0.0,16802.4,19335.022479945554
26,rollout/ep_rew_mean,21600.0,38458.0,37080.0,0.0,8688.0,0.0,16845.2,19433.358515706954
27,rollout/ep_rew_mean,22400.0,38516.0,37155.0,0.0,8766.0,0.0,16887.4,19460.84301360041
28,rollout/ep_rew_mean,23200.0,38666.0,37296.0,0.0,8742.0,0.0,16940.8,19541.75153869274
29,rollout/ep_rew_mean,24000.0,38627.0,37383.0,0.0,8797.0,0.0,16961.4,19547.861629856092
30,rollout/ep_rew_mean,24800.0,38183.0,37327.0,0.0,8845.0,0.0,16871.0,19405.715897642116
31,rollout/ep_rew_mean,25600.0,38197.0,37053.0,0.0,8901.0,0.0,16830.2,19331.873026171055
32,rollout/ep_rew_mean,26400.0,38338.0,36617.0,0.0,8858.0,0.0,16762.6,19262.316210674147
33,rollout/ep_rew_mean,27200.0,38224.0,36703.0,0.0,8816.0,0.0,16748.6,19257.00022848834
34,rollout/ep_rew_mean,28000.0,38328.0,36607.0,0.0,8759.0,0.0,16738.8,19267.14163284217
35,rollout/ep_rew_mean,28800.0,38462.0,36728.0,0.0,8844.0,0.0,16806.8,19327.08677478321
36,rollout/ep_rew_mean,29600.0,37924.0,36876.0,0.0,8784.0,0.0,16716.8,19222.192882186984
37,rollout/ep_rew_mean,30400.0,37861.0,37023.0,0.0,8861.0,0.0,16749.0,19235.58009263043
38,rollout/ep_rew_mean,31200.0,37824.0,36983.0,0.0,8890.0,0.0,16739.4,19211.922100612424
39,rollout/ep_rew_mean,32000.0,38067.0,37045.0,0.0,8760.0,0.0,16774.4,19308.441400071628
40,rollout/ep_rew_mean,32800.0,37832.0,37020.0,0.0,8741.0,0.0,16718.6,19239.203304710933
41,rollout/ep_rew_mean,33600.0,38074.0,37376.0,0.0,8784.0,0.0,16846.8,19395.10348515831
42,rollout/ep_rew_mean,34400.0,37674.0,37914.0,0.0,8741.0,0.0,16865.8,19435.34605300353
43,rollout/ep_rew_mean,35200.0,38193.0,37758.0,0.0,8817.0,0.0,16953.6,19525.550806571373
