,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,2048.0,14310.103515625,16005.1328125,16846.94921875,17107.9140625,16206.87890625,16095.395703125,1095.2020594017417
1,rollout/ep_rew_mean,4096.0,14087.0732421875,14688.6669921875,15122.521484375,16664.8046875,14511.3759765625,15014.8884765625,994.3081478027244
2,rollout/ep_rew_mean,6144.0,13857.625,14658.72265625,14866.4677734375,17192.849609375,14317.384765625,14978.6099609375,1295.3365412311045
3,rollout/ep_rew_mean,8192.0,13822.51171875,14885.5693359375,14331.5908203125,16818.923828125,13984.80859375,14768.680859375,1216.3365714921072
4,rollout/ep_rew_mean,10240.0,14484.00390625,15217.5673828125,14484.974609375,16902.912109375,14450.111328125,15107.9138671875,1054.0474042498313
5,rollout/ep_rew_mean,12288.0,15035.48046875,15683.0732421875,14257.89453125,16708.1796875,14740.79296875,15285.0841796875,948.3234715671233
6,rollout/ep_rew_mean,14336.0,15110.1328125,16110.0087890625,14413.6826171875,16762.83203125,15140.98828125,15507.52890625,925.681280736988
7,rollout/ep_rew_mean,16384.0,15076.271484375,16349.6689453125,14621.916015625,16851.8984375,14991.34375,15578.2197265625,965.4381897692285
8,rollout/ep_rew_mean,18432.0,15339.169921875,16608.33984375,14949.306640625,17055.9296875,15403.9853515625,15871.3462890625,908.046305604671
9,rollout/ep_rew_mean,20480.0,15337.2177734375,16693.6640625,14758.322265625,16859.580078125,15527.5966796875,15835.276171875,906.7230582549262
10,rollout/ep_rew_mean,22528.0,15759.7705078125,16786.419921875,15177.1748046875,17040.38671875,15610.4306640625,16074.8365234375,799.9021925105466
11,rollout/ep_rew_mean,24576.0,16011.3251953125,17079.298828125,15439.6806640625,17174.935546875,15990.8232421875,16339.2126953125,755.6790766514009
12,rollout/ep_rew_mean,26624.0,16992.12890625,17457.9375,16125.970703125,17132.779296875,16415.27734375,16824.81875,543.089425065463
13,rollout/ep_rew_mean,28672.0,17424.931640625,17760.732421875,16805.59375,17420.677734375,16892.166015625,17260.8203125,401.7263540823536
14,rollout/ep_rew_mean,30720.0,17529.69140625,17735.994140625,17097.748046875,17449.609375,17268.91796875,17416.3921875,244.6263663766913
15,rollout/ep_rew_mean,32768.0,17759.0078125,17799.93359375,17587.791015625,17608.708984375,17619.716796875,17675.031640625,97.1105666994489
16,rollout/ep_rew_mean,34816.0,18181.826171875,18018.1171875,17933.58203125,17919.73046875,17680.3671875,17946.724609375,181.80850645461172
17,rollout/ep_rew_mean,36864.0,18542.474609375,18072.71484375,18143.939453125,18089.802734375,18177.490234375,18205.284375,193.09560960058488
18,rollout/ep_rew_mean,38912.0,18887.87890625,18296.875,18276.142578125,18030.7578125,18741.275390625,18446.5859375,355.6538665452971
19,rollout/ep_rew_mean,40960.0,19415.96484375,18360.65625,18886.47265625,18269.37890625,18915.5,18769.59453125,466.419787359484
20,rollout/ep_rew_mean,43008.0,20183.685546875,18989.908203125,19249.275390625,18753.138671875,19507.35546875,19336.67265625,551.1259471024291
21,rollout/ep_rew_mean,45056.0,20443.6328125,19670.60546875,19382.2578125,19419.494140625,20286.236328125,19840.4453125,494.6074293195638
22,rollout/ep_rew_mean,47104.0,20594.908203125,19854.345703125,19478.134765625,19615.4921875,20510.52734375,20010.681640625,513.6604439098357
23,rollout/ep_rew_mean,49152.0,20922.013671875,20130.88671875,19646.90234375,19513.36328125,20958.14453125,20234.262109375,684.1748786813813
24,rollout/ep_rew_mean,51200.0,21443.4296875,20724.2109375,19968.4765625,19778.0078125,21085.244140625,20599.873828125,713.5749434341169
25,rollout/ep_rew_mean,53248.0,21917.271484375,20801.666015625,20568.75390625,20632.591796875,21638.212890625,21111.69921875,621.8153751148467
26,rollout/ep_rew_mean,55296.0,22359.3046875,21300.466796875,20546.138671875,21257.951171875,22081.234375,21509.019140625,721.8178073086455
27,rollout/ep_rew_mean,57344.0,22681.923828125,21824.625,21198.95703125,21337.98828125,22009.291015625,21810.55703125,590.83605646217
28,rollout/ep_rew_mean,59392.0,23196.19140625,21985.66015625,21831.41015625,21706.30078125,22178.34375,22179.58125,595.0463520645653
29,rollout/ep_rew_mean,61440.0,23484.5703125,22596.205078125,21981.841796875,21913.544921875,22501.095703125,22495.4515625,630.6642051410154
30,rollout/ep_rew_mean,63488.0,23472.34375,23032.154296875,22421.15625,22169.36328125,22346.8203125,22688.367578125,545.4882754848231
31,rollout/ep_rew_mean,65536.0,23612.57421875,23115.91015625,22611.25,22101.939453125,22640.5703125,22816.448828125,571.632789237421
32,rollout/ep_rew_mean,67584.0,23684.9453125,23365.21875,23378.158203125,22519.240234375,22977.947265625,23185.101953125,448.843250239375
33,rollout/ep_rew_mean,69632.0,23541.40625,23651.916015625,23817.7734375,23102.98828125,23288.3203125,23480.480859375,285.61097737755034
34,rollout/ep_rew_mean,71680.0,23485.912109375,24065.533203125,23832.4375,23384.7421875,23896.380859375,23733.001171875,287.00844170985056
35,rollout/ep_rew_mean,73728.0,23463.154296875,24172.927734375,23919.310546875,23346.021484375,23818.697265625,23744.022265625,338.21357011420963
36,rollout/ep_rew_mean,75776.0,23740.732421875,24311.69140625,24825.001953125,23369.845703125,24132.7890625,24076.012109375,554.7156031671635
37,rollout/ep_rew_mean,77824.0,23855.384765625,24482.7578125,24993.392578125,23661.083984375,24395.521484375,24277.628125,530.7334352363732
38,rollout/ep_rew_mean,79872.0,24077.4609375,24726.208984375,25037.501953125,23659.83984375,24772.201171875,24454.642578125,567.5152423256911
39,rollout/ep_rew_mean,81920.0,24308.8515625,24587.970703125,25671.919921875,24026.83203125,25200.572265625,24759.229296875,670.1423649637659
40,rollout/ep_rew_mean,83968.0,24523.4140625,24348.18359375,25477.74609375,24317.49609375,25685.490234375,24870.466015625,658.0374782834352
