,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,2048.0,15382.2255859375,15953.2802734375,18998.59765625,17116.10546875,17963.572265625,17082.75625,1467.559014036861
1,rollout/ep_rew_mean,4096.0,15249.8212890625,16359.638671875,17153.673828125,16422.408203125,17484.060546875,16533.9205078125,862.9281876113564
2,rollout/ep_rew_mean,6144.0,15607.72265625,16475.7890625,16312.994140625,16759.314453125,17632.408203125,16557.645703125,735.6448544925054
3,rollout/ep_rew_mean,8192.0,15782.001953125,16463.365234375,15891.3125,17319.634765625,17550.841796875,16601.43125,808.0829030369932
4,rollout/ep_rew_mean,10240.0,16541.244140625,17288.626953125,15650.5263671875,17382.361328125,17930.990234375,16958.7498046875,883.0737017539669
5,rollout/ep_rew_mean,12288.0,17505.26171875,17577.3671875,16311.8486328125,17636.078125,18275.35546875,17461.1822265625,712.3686370282967
6,rollout/ep_rew_mean,14336.0,17945.08984375,18108.09375,16906.189453125,18181.765625,18514.541015625,17931.1359375,609.3440736101968
7,rollout/ep_rew_mean,16384.0,18429.349609375,18242.53125,17296.3984375,18690.646484375,18203.46875,18172.47890625,526.2758036784509
8,rollout/ep_rew_mean,18432.0,19114.07421875,18739.84765625,17979.109375,18823.462890625,18549.337890625,18641.16640625,422.30432905371595
9,rollout/ep_rew_mean,20480.0,19649.255859375,18969.576171875,18090.90625,19036.759765625,18718.21484375,18892.942578125,563.994220559627
10,rollout/ep_rew_mean,22528.0,20618.181640625,19822.58203125,18802.09375,19887.404296875,19382.47265625,19702.546875,670.8634482907216
11,rollout/ep_rew_mean,24576.0,21462.55078125,20244.34375,19294.6171875,20479.568359375,19867.787109375,20269.7734375,803.1035253825738
12,rollout/ep_rew_mean,26624.0,22819.46484375,21381.935546875,20047.25,21368.736328125,20298.77734375,21183.2328125,1098.1652901024313
13,rollout/ep_rew_mean,28672.0,24381.83984375,22212.642578125,20713.05859375,22211.703125,20920.501953125,22087.94921875,1461.6818233951794
14,rollout/ep_rew_mean,30720.0,24794.974609375,23260.7890625,21195.251953125,22911.720703125,21567.380859375,22746.0234375,1439.1604028881707
15,rollout/ep_rew_mean,32768.0,25198.3671875,24134.953125,21614.66015625,23563.142578125,22600.15625,23422.255859375,1380.725163051461
16,rollout/ep_rew_mean,34816.0,26133.322265625,25059.744140625,21889.125,23977.337890625,23602.560546875,24132.41796875,1596.9278236732903
17,rollout/ep_rew_mean,36864.0,27221.138671875,25951.333984375,22501.25,24317.94921875,24479.197265625,24894.173828125,1786.2445083955527
18,rollout/ep_rew_mean,38912.0,28085.41015625,26930.54296875,22766.69921875,25021.728515625,25215.345703125,25603.9453125,2028.391022695367
19,rollout/ep_rew_mean,40960.0,28414.07421875,27739.935546875,23157.685546875,25678.37109375,26128.017578125,26223.616796875,2049.615377685365
20,rollout/ep_rew_mean,43008.0,29087.55859375,28073.046875,23436.146484375,25876.44140625,26925.8828125,26679.815234375,2177.479518244668
21,rollout/ep_rew_mean,45056.0,29440.076171875,28624.28515625,24473.5390625,26851.173828125,27530.830078125,27383.980859375,1906.6988593853098
22,rollout/ep_rew_mean,47104.0,30229.7890625,28821.865234375,25529.205078125,27880.138671875,28478.05859375,28187.811328125,1718.923395243366
23,rollout/ep_rew_mean,49152.0,30102.103515625,29193.861328125,25925.365234375,28705.6875,29152.115234375,28615.8265625,1587.246519721153
24,rollout/ep_rew_mean,51200.0,30523.158203125,29116.44140625,26926.755859375,29573.291015625,29685.619140625,29165.053125,1350.4105212581403
25,rollout/ep_rew_mean,53248.0,31172.140625,29248.931640625,27418.29296875,30421.52734375,29940.23828125,29640.226171875,1426.2975888619487
26,rollout/ep_rew_mean,55296.0,31642.72265625,29655.357421875,27793.068359375,31184.7578125,30335.703125,30122.321875,1510.7446802241627
27,rollout/ep_rew_mean,57344.0,31594.5,29318.412109375,27987.046875,31761.1640625,30563.939453125,30245.0125,1595.1914871062563
28,rollout/ep_rew_mean,59392.0,32061.99609375,28983.330078125,28293.02734375,32514.294921875,30473.005859375,30465.130859375,1848.1667393207263
29,rollout/ep_rew_mean,61440.0,32625.701171875,29151.462890625,29238.875,33182.78125,30652.107421875,30970.185546875,1873.6777827168908
30,rollout/ep_rew_mean,63488.0,32874.19921875,29823.08203125,29476.115234375,33968.640625,30693.734375,31367.154296875,1965.4896209673718
31,rollout/ep_rew_mean,65536.0,33338.828125,30398.82421875,29264.40625,34600.390625,31062.044921875,31732.898828125,2186.5940264984606
32,rollout/ep_rew_mean,67584.0,32851.62890625,30670.2265625,29681.197265625,34687.72265625,31392.076171875,31856.5703125,1959.6542674299774
33,rollout/ep_rew_mean,69632.0,33260.375,31079.875,30337.814453125,34468.6015625,31216.62890625,32072.658984375,1723.3182565430727
34,rollout/ep_rew_mean,71680.0,33358.94921875,31100.322265625,29808.74609375,34493.89453125,31627.537109375,32077.88984375,1856.4523348056664
35,rollout/ep_rew_mean,73728.0,32844.45703125,31112.998046875,30086.12109375,34578.8125,31800.779296875,32084.63359375,1718.790358291151
36,rollout/ep_rew_mean,75776.0,32550.345703125,31425.009765625,30560.1328125,34841.69140625,32390.42578125,32353.52109375,1605.4180297201974
37,rollout/ep_rew_mean,77824.0,33171.5234375,32469.69921875,31391.841796875,35543.42578125,32990.50390625,33113.398828125,1524.9279018946659
38,rollout/ep_rew_mean,79872.0,32798.96484375,32472.8828125,31617.77734375,35333.70703125,33202.5,33085.16640625,1385.6167677964897
39,rollout/ep_rew_mean,81920.0,32545.03125,32486.943359375,31614.66796875,35503.40625,33603.09375,33150.628515625,1492.2037974087516
40,rollout/ep_rew_mean,83968.0,33196.1953125,33003.6484375,32449.880859375,35190.55078125,33724.05078125,33512.865234375,1042.6822977945217
41,rollout/ep_rew_mean,86016.0,33205.48828125,32621.63671875,32729.869140625,35104.72265625,33967.01953125,33525.747265625,1029.719401646175
