,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,500.0,23533.421875,23525.322265625,31223.203125,33267.09375,19040.20703125,26117.849609375,5930.215331414018
1,rollout/ep_rew_mean,1000.0,23209.05859375,20287.509765625,24442.53125,29344.10546875,17359.767578125,22928.59453125,4514.327398433336
2,rollout/ep_rew_mean,1500.0,21416.615234375,20238.673828125,22216.74609375,28113.390625,18128.7734375,22022.83984375,3736.5397855964916
3,rollout/ep_rew_mean,2000.0,20278.17578125,20706.3203125,21077.94140625,29219.236328125,18452.98046875,21946.930859375,4188.469794339804
4,rollout/ep_rew_mean,2500.0,20235.75,21382.447265625,21537.65625,30725.578125,19546.30859375,22685.548046875,4569.303713234411
5,rollout/ep_rew_mean,3000.0,19727.78515625,22637.3671875,22060.99609375,32559.984375,21428.2734375,23682.88125,5080.664634322379
6,rollout/ep_rew_mean,3500.0,19939.921875,23109.70703125,22582.703125,32886.0234375,21608.271484375,24025.325390625,5098.140772144182
7,rollout/ep_rew_mean,4000.0,20921.396484375,24207.517578125,22591.025390625,33278.00390625,22643.595703125,24728.3078125,4918.716813197865
8,rollout/ep_rew_mean,4500.0,21788.73828125,24253.958984375,23075.83984375,33293.73828125,23507.08203125,25183.871484375,4621.066609984674
9,rollout/ep_rew_mean,5000.0,22457.51953125,24482.732421875,24624.126953125,32988.6875,23996.28515625,25709.8703125,4158.727130568251
10,rollout/ep_rew_mean,5500.0,23154.849609375,24602.771484375,25934.6796875,33514.48828125,24508.958984375,26343.149609375,4127.752844485207
11,rollout/ep_rew_mean,6000.0,25123.083984375,24996.634765625,27116.484375,33563.421875,25558.443359375,27271.613671875,3617.235716857647
12,rollout/ep_rew_mean,6500.0,25996.388671875,25624.36328125,27386.65625,33586.10546875,26131.171875,27744.937109375,3331.8953392644225
13,rollout/ep_rew_mean,7000.0,27071.595703125,26270.060546875,28089.03125,33137.26171875,25851.478515625,28083.885546875,2951.057870675087
14,rollout/ep_rew_mean,7500.0,27324.74609375,26815.181640625,28151.107421875,32810.73046875,25781.61328125,28176.67578125,2729.0516417818185
