,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,2048.0,17505.08984375,18768.03515625,18326.126953125,17084.453125,17299.306640625,17796.60234375,718.2473607512386
1,rollout/ep_rew_mean,4096.0,16613.9765625,17582.966796875,17049.8671875,17318.310546875,16108.9208984375,16934.8083984375,584.2612775696009
2,rollout/ep_rew_mean,6144.0,17004.384765625,17298.05859375,17369.912109375,16645.02734375,16388.1171875,16941.1,420.9374160900188
3,rollout/ep_rew_mean,8192.0,17405.30078125,17202.96875,17849.994140625,17307.740234375,16589.99609375,17271.2,453.6009068687732
4,rollout/ep_rew_mean,10240.0,17978.599609375,17336.1015625,19075.369140625,17963.763671875,17447.568359375,17960.28046875,688.5207847023225
5,rollout/ep_rew_mean,12288.0,18391.544921875,17989.68359375,19786.798828125,17983.353515625,17854.23046875,18401.122265625,800.4833552384326
6,rollout/ep_rew_mean,14336.0,19060.36328125,18708.89453125,21259.783203125,18681.279296875,18584.4765625,19258.959375,1132.91097057488
7,rollout/ep_rew_mean,16384.0,19643.732421875,19345.9921875,21719.25,19536.322265625,19480.2109375,19945.1015625,997.5697829204911
8,rollout/ep_rew_mean,18432.0,20423.3046875,19919.396484375,22589.16015625,20310.806640625,20425.234375,20733.58046875,1057.846588686658
9,rollout/ep_rew_mean,20480.0,20955.771484375,20611.53125,23305.546875,20932.970703125,20979.259765625,21357.016015625,1099.5489337724987
10,rollout/ep_rew_mean,22528.0,22916.623046875,21819.68359375,25158.693359375,23005.876953125,22363.205078125,23052.81640625,1270.0049214710787
11,rollout/ep_rew_mean,24576.0,24426.205078125,23361.552734375,27121.974609375,24298.759765625,24125.560546875,24666.810546875,1433.338102346663
12,rollout/ep_rew_mean,26624.0,26434.740234375,25400.982421875,28766.568359375,26664.02734375,25892.361328125,26631.7359375,1290.2314269800327
13,rollout/ep_rew_mean,28672.0,28301.517578125,27494.431640625,30699.810546875,28677.48828125,27371.791015625,28509.0078125,1341.0519507356298
14,rollout/ep_rew_mean,30720.0,30238.0,29634.2578125,32858.15625,30781.974609375,28852.2734375,30472.932421875,1514.0924402760086
15,rollout/ep_rew_mean,32768.0,31954.646484375,31991.056640625,34718.06640625,33518.83203125,30831.02734375,32602.72578125,1520.4421961336868
16,rollout/ep_rew_mean,34816.0,34095.140625,34011.4609375,37122.12890625,35817.9140625,32733.439453125,34756.016796875,1718.1423231651584
17,rollout/ep_rew_mean,36864.0,37067.859375,36518.08203125,39636.28515625,37578.234375,34736.21484375,37107.33515625,1774.001359617364
18,rollout/ep_rew_mean,38912.0,38982.8671875,39028.03515625,41601.86328125,39920.578125,37225.15625,39351.7,1592.9408344874048
19,rollout/ep_rew_mean,40960.0,40482.02734375,41126.09765625,43949.6015625,42182.88671875,39922.80078125,41532.6828125,1591.0036079188403
20,rollout/ep_rew_mean,43008.0,42606.359375,43555.91015625,46585.46484375,44252.04296875,42947.2890625,43989.41328125,1580.76279230934
21,rollout/ep_rew_mean,45056.0,44737.72265625,46146.72265625,49203.56640625,46677.56640625,45370.8984375,46427.2953125,1718.9871974545993
22,rollout/ep_rew_mean,47104.0,47202.8203125,47775.38671875,52171.87890625,48791.9765625,48936.953125,48975.803125,1925.790067017167
23,rollout/ep_rew_mean,49152.0,49609.30859375,50139.22265625,54441.30859375,50637.31640625,51299.16796875,51225.26484375,1902.950647934765
