,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,2048.0,12301.078125,16381.5771484375,14692.41015625,15419.2978515625,17894.62109375,15337.796875,2077.9590068938383
1,rollout/ep_rew_mean,4096.0,12890.4326171875,17416.71484375,15211.5,16352.8232421875,17383.76953125,15851.048046875,1885.9077019367724
2,rollout/ep_rew_mean,6144.0,12737.1083984375,20060.876953125,16436.599609375,17558.232421875,16501.119140625,16658.7873046875,2638.0394026848494
3,rollout/ep_rew_mean,8192.0,13911.234375,20219.375,18462.712890625,19939.78515625,16959.4609375,17898.513671875,2581.2653662967277
4,rollout/ep_rew_mean,10240.0,15910.7177734375,21524.638671875,19315.9609375,20429.64453125,17405.212890625,18917.2349609375,2267.7232836268963
5,rollout/ep_rew_mean,12288.0,16912.41796875,23992.7578125,19811.345703125,20860.828125,18140.927734375,19943.65546875,2724.5260785733562
6,rollout/ep_rew_mean,14336.0,18167.984375,26653.13671875,21150.53125,21999.587890625,18660.296875,21326.307421875,3389.023860742042
7,rollout/ep_rew_mean,16384.0,19558.740234375,28278.03125,22153.365234375,23349.8984375,19497.744140625,22567.555859375,3601.0366015960553
8,rollout/ep_rew_mean,18432.0,21129.138671875,30320.4765625,23567.048828125,24422.876953125,20768.58203125,24041.624609375,3840.2454161609235
9,rollout/ep_rew_mean,20480.0,22754.373046875,32081.4375,24879.138671875,25684.01953125,21991.8828125,25478.1703125,3986.7788512070274
10,rollout/ep_rew_mean,22528.0,25927.37890625,35669.0546875,27488.78515625,28064.02734375,23776.88671875,28185.2265625,4501.075968708302
11,rollout/ep_rew_mean,24576.0,29286.302734375,40075.80078125,30214.30859375,30480.994140625,26468.2421875,31305.1296875,5154.2435052889905
12,rollout/ep_rew_mean,26624.0,33820.984375,44772.33203125,32643.666015625,33165.33984375,29763.103515625,34833.08515625,5768.288759904872
13,rollout/ep_rew_mean,28672.0,37212.9140625,48015.44921875,33890.90234375,35133.85546875,32142.947265625,37279.213671875,6279.641658330789
14,rollout/ep_rew_mean,30720.0,40253.67578125,51814.26171875,37328.9140625,37684.44140625,35541.4296875,40524.54453125,6531.476813342048
15,rollout/ep_rew_mean,32768.0,42997.5546875,54899.8046875,39943.4609375,40198.0390625,38143.44140625,43236.46015625,6747.321099205272
16,rollout/ep_rew_mean,34816.0,45622.72265625,56499.4921875,43395.6875,42769.66796875,41493.54296875,45956.22265625,6080.660649029637
17,rollout/ep_rew_mean,36864.0,48706.23828125,59518.37890625,45799.55859375,45175.6015625,44818.15625,48803.58671875,6182.361313256387
18,rollout/ep_rew_mean,38912.0,51035.921875,62129.25390625,48610.21484375,47421.20703125,48237.375,51486.79453125,6099.747277745246
19,rollout/ep_rew_mean,40960.0,52527.9453125,64538.69921875,50998.01953125,49155.9140625,50928.05078125,53629.72578125,6214.087594895538
20,rollout/ep_rew_mean,43008.0,53855.7578125,67655.421875,53295.26953125,51634.96875,52955.59765625,55879.403125,6633.46376270113
21,rollout/ep_rew_mean,45056.0,55182.7265625,69023.3203125,55721.49609375,53436.3828125,55692.984375,57811.38203125,6336.663941337298
22,rollout/ep_rew_mean,47104.0,55977.01953125,71106.6640625,57294.27734375,54872.16796875,57085.30859375,59267.0875,6688.938204468954
23,rollout/ep_rew_mean,49152.0,56792.44921875,74591.6796875,59514.1953125,56309.6484375,59087.88671875,61259.171875,7582.291549228675
24,rollout/ep_rew_mean,51200.0,59282.84375,75961.0,62063.0546875,57267.34375,60794.09375,63073.6671875,7422.682700638162
25,rollout/ep_rew_mean,53248.0,60918.00390625,78114.3046875,63397.08203125,58693.0390625,61755.51953125,64575.58984375,7755.978588097809
26,rollout/ep_rew_mean,55296.0,63327.625,80504.546875,64959.73046875,59021.6640625,63148.63671875,66192.440625,8295.298471647317
27,rollout/ep_rew_mean,57344.0,64207.73046875,83043.9921875,67077.3984375,59973.6875,64650.08984375,67790.5796875,8901.945136380316
28,rollout/ep_rew_mean,59392.0,65660.1328125,85192.4453125,67552.1640625,60416.8515625,66257.34375,69015.7875,9442.425285783314
29,rollout/ep_rew_mean,61440.0,67701.8046875,87351.5,68497.96875,61987.25,68762.34375,70860.1734375,9626.120917367685
30,rollout/ep_rew_mean,63488.0,68904.84375,87909.984375,69703.3515625,62403.91796875,69453.8515625,71675.18984375,9565.85520351391
31,rollout/ep_rew_mean,65536.0,69844.84375,89506.6875,71022.671875,63439.17578125,70676.8359375,72898.04296875,9786.34309280678
32,rollout/ep_rew_mean,67584.0,71020.203125,90652.7109375,72000.734375,64748.81640625,73670.0546875,74418.50390625,9682.543160506384
33,rollout/ep_rew_mean,69632.0,72164.8125,92287.953125,72629.7265625,66264.484375,75226.265625,75714.6484375,9827.723859094249
34,rollout/ep_rew_mean,71680.0,71417.4453125,91897.0625,72698.484375,66785.625,76222.890625,75804.3015625,9609.621565052546
35,rollout/ep_rew_mean,73728.0,72038.9375,92205.15625,73368.2109375,68723.640625,77792.015625,76825.5921875,9192.009197387211
36,rollout/ep_rew_mean,75776.0,72318.6171875,92364.3046875,73277.2578125,69589.6015625,77930.140625,77095.984375,9049.435266159628
37,rollout/ep_rew_mean,77824.0,73570.4453125,92823.125,74353.546875,71228.7734375,78926.9453125,78180.5671875,8648.530570493802
38,rollout/ep_rew_mean,79872.0,74277.53125,92766.3359375,74803.96875,72978.140625,79434.1796875,78852.03125,8151.107640502567
39,rollout/ep_rew_mean,81920.0,74768.328125,93509.4609375,75969.1015625,72417.5546875,81175.6328125,79568.015625,8427.137778756847
40,rollout/ep_rew_mean,83968.0,74718.328125,94250.046875,77135.0625,72913.1796875,82682.0546875,80339.734375,8602.428477970474
41,rollout/ep_rew_mean,86016.0,75133.46875,95164.59375,76775.5703125,73264.109375,82235.8046875,80514.709375,8847.194374891431
42,rollout/ep_rew_mean,88064.0,75562.8671875,95720.4921875,78264.40625,73539.5234375,81885.3515625,80994.528125,8805.980707022425
43,rollout/ep_rew_mean,90112.0,75873.8828125,98384.28125,78479.078125,74416.7890625,83092.828125,82049.371875,9708.991299912977
44,rollout/ep_rew_mean,92160.0,75589.78125,100708.109375,78794.5078125,75482.890625,83829.4453125,82880.946875,10527.329774784033
45,rollout/ep_rew_mean,94208.0,74712.75,101600.15625,80398.4921875,75434.265625,84460.65625,83321.2640625,10957.531294843096
46,rollout/ep_rew_mean,96256.0,74871.953125,103161.7265625,81021.859375,75681.5703125,84884.1171875,83924.2453125,11503.386110122248
47,rollout/ep_rew_mean,98304.0,74748.828125,105100.328125,80948.546875,75017.765625,84764.9296875,84116.0796875,12463.122336943994
48,rollout/ep_rew_mean,100352.0,74438.796875,105595.6953125,81950.1875,75608.2734375,84380.109375,84394.6125,12567.610703947968
49,rollout/ep_rew_mean,102400.0,74171.2890625,105275.1953125,81928.2578125,76717.734375,83450.6875,84308.6328125,12312.457875667798
50,rollout/ep_rew_mean,104448.0,74617.8359375,105564.8203125,82384.953125,77380.859375,83971.0703125,84783.9078125,12210.816478253799
51,rollout/ep_rew_mean,106496.0,74869.234375,106913.6171875,82556.625,77374.78125,85027.578125,85348.3671875,12711.67804453152
52,rollout/ep_rew_mean,108544.0,74696.0859375,105727.6015625,81930.2734375,77465.7890625,85137.28125,84991.40625,12267.947505994092
53,rollout/ep_rew_mean,110592.0,74301.78125,104098.8046875,82309.40625,76671.59375,84432.2578125,84362.76875,11769.76936019018
54,rollout/ep_rew_mean,112640.0,75151.125,104282.3203125,82253.59375,76493.515625,84269.234375,84489.9578125,11704.107637333635
55,rollout/ep_rew_mean,114688.0,75659.640625,104491.3984375,81811.328125,76892.1015625,84080.125,84586.91875,11651.77627148406
56,rollout/ep_rew_mean,116736.0,75514.5859375,104435.9296875,82620.515625,78895.78125,85351.0703125,85363.5765625,11292.853779864055
57,rollout/ep_rew_mean,118784.0,74929.7421875,103422.9765625,83924.40625,80124.6796875,86362.9140625,85752.94375,10779.201282859454
58,rollout/ep_rew_mean,120832.0,74254.25,102522.140625,83197.109375,81566.0703125,87525.3828125,85812.990625,10495.375558039395
59,rollout/ep_rew_mean,122880.0,74840.09375,103793.1875,82769.9609375,82746.0390625,87402.453125,86310.346875,10766.240545110302
60,rollout/ep_rew_mean,124928.0,74771.515625,104179.890625,83019.6953125,82837.09375,87941.4453125,86549.928125,10928.524393317057
61,rollout/ep_rew_mean,126976.0,74880.5703125,102217.2734375,84026.875,83387.9609375,87959.1796875,86494.371875,9999.675144042278
62,rollout/ep_rew_mean,129024.0,74891.015625,102950.28125,84527.53125,86182.40625,88462.46875,87402.740625,10113.7079080506
63,rollout/ep_rew_mean,131072.0,75886.828125,101991.1015625,83860.0625,87332.8515625,88495.09375,87513.1875,9475.286422023792
64,rollout/ep_rew_mean,133120.0,75662.296875,102021.828125,83864.0234375,88864.171875,87726.6875,87627.8015625,9566.42199128069
65,rollout/ep_rew_mean,135168.0,75486.40625,102644.1640625,83654.1796875,88930.0703125,89252.7578125,87993.515625,9904.064146921846
66,rollout/ep_rew_mean,137216.0,75955.4375,101533.078125,82446.203125,88318.4609375,87921.609375,87234.9578125,9437.179978654201
67,rollout/ep_rew_mean,139264.0,76531.3203125,101093.21875,82768.40625,88299.2734375,87152.078125,87168.859375,9051.065221546238
68,rollout/ep_rew_mean,141312.0,76592.0625,102710.3671875,83766.8828125,87775.9375,88436.421875,87856.334375,9547.155216554595
69,rollout/ep_rew_mean,143360.0,76756.5078125,101566.015625,83390.96875,87093.6640625,89247.9296875,87611.0171875,9128.503447526873
70,rollout/ep_rew_mean,145408.0,77149.625,103059.96875,82406.859375,88191.484375,88747.796875,87911.146875,9700.166370810923
71,rollout/ep_rew_mean,147456.0,76561.6484375,104546.4921875,82110.9765625,88311.484375,89467.1953125,88199.559375,10504.206920395136
72,rollout/ep_rew_mean,149504.0,75621.828125,105624.1640625,81635.5703125,87539.5859375,88508.03125,87785.8359375,11231.39582540479
73,rollout/ep_rew_mean,151552.0,74771.421875,104996.640625,82070.7265625,88326.265625,89336.8515625,87900.38125,11190.189421126095
74,rollout/ep_rew_mean,153600.0,75922.4140625,104630.0859375,82005.21875,87404.0078125,91548.1171875,88301.96875,10849.581319520994
75,rollout/ep_rew_mean,155648.0,76729.234375,104240.40625,82117.71875,88308.2109375,91129.6796875,88505.05,10416.29369136003
76,rollout/ep_rew_mean,157696.0,76361.75,107296.09375,82054.2265625,88928.6953125,92124.8671875,89353.1265625,11745.877635032512
77,rollout/ep_rew_mean,159744.0,76520.5,108230.3828125,82277.09375,89571.703125,91847.609375,89689.4578125,12008.351000982822
78,rollout/ep_rew_mean,161792.0,75886.2734375,107928.90625,82356.6875,89766.4296875,92188.578125,89625.375,12074.828079748675
79,rollout/ep_rew_mean,163840.0,76643.734375,107962.53125,82910.4453125,90503.96875,91443.078125,89892.7515625,11764.173301372855
80,rollout/ep_rew_mean,165888.0,76640.4921875,106995.8984375,82726.2109375,89260.3984375,91730.8046875,89470.7609375,11427.896191195397
81,rollout/ep_rew_mean,167936.0,77355.609375,106255.0390625,82521.3984375,88510.734375,91682.6328125,89265.0828125,10981.632841393737
82,rollout/ep_rew_mean,169984.0,78336.890625,104783.578125,83639.3125,87886.9453125,92518.9140625,89433.128125,10052.908254544347
83,rollout/ep_rew_mean,172032.0,78409.8125,105378.21875,84275.2265625,88300.1484375,90993.4765625,89471.3765625,10075.643483670314
84,rollout/ep_rew_mean,174080.0,77461.34375,105076.84375,84479.1875,87919.6171875,89278.625,88843.1234375,10163.230863148241
85,rollout/ep_rew_mean,176128.0,76647.328125,104421.265625,84704.1484375,88205.6953125,89798.0078125,88755.2890625,10122.087183061496
86,rollout/ep_rew_mean,178176.0,77161.8515625,104149.53125,83505.9375,87913.9765625,89302.7578125,88406.8109375,9991.828175531711
87,rollout/ep_rew_mean,180224.0,77317.8828125,104513.6171875,83805.3125,87118.8203125,89928.6640625,88536.859375,10092.79094466007
88,rollout/ep_rew_mean,182272.0,77484.4140625,105427.7734375,84374.65625,86625.3125,88640.0078125,88510.4328125,10349.45190995369
89,rollout/ep_rew_mean,184320.0,76844.7265625,105437.90625,85261.5625,86538.40625,89010.7421875,88618.66875,10455.427307612623
90,rollout/ep_rew_mean,186368.0,76343.3046875,106194.9375,86349.734375,86708.03125,89099.0703125,88939.015625,10818.110509156013
91,rollout/ep_rew_mean,188416.0,76242.984375,107942.546875,87057.46875,86470.484375,88895.59375,89321.815625,11524.17546839014
92,rollout/ep_rew_mean,190464.0,76410.5703125,109337.015625,86944.9375,87037.265625,89918.8046875,89929.71875,12007.142351294266
