,metric,step,run_0,run_1,run_2,run_3,run_4,mean,std
0,rollout/ep_rew_mean,500.0,34200.75390625,17325.23046875,35789.21484375,21944.197265625,24064.15625,26664.710546875,8005.006942489445
1,rollout/ep_rew_mean,1000.0,48387.2734375,13222.603515625,27124.025390625,33088.9921875,19409.62890625,28246.5046875,13547.76910413718
2,rollout/ep_rew_mean,1500.0,49294.36328125,13560.6044921875,30413.228515625,38563.37890625,21502.537109375,30666.8224609375,14017.952862265252
3,rollout/ep_rew_mean,2000.0,53796.77734375,15357.0693359375,33582.453125,41492.32421875,25640.19140625,33973.7630859375,14711.079858227473
4,rollout/ep_rew_mean,2500.0,57026.3671875,16832.37109375,32020.98046875,41931.36328125,28344.009765625,35231.018359375,15134.21045550668
5,rollout/ep_rew_mean,3000.0,61601.53125,17667.912109375,32807.5546875,42913.75,32424.04296875,37482.958203125,16211.779193216249
6,rollout/ep_rew_mean,3500.0,63601.734375,18172.185546875,35007.20703125,43391.18359375,33965.76953125,38827.616015625,16579.075467432765
7,rollout/ep_rew_mean,4000.0,65098.75,18959.93359375,36273.37890625,46204.42578125,36273.27734375,40561.953125,16862.115489881842
8,rollout/ep_rew_mean,4500.0,67538.7109375,18762.70703125,37448.73828125,46892.984375,37092.54296875,41547.13671875,17747.609197771515
9,rollout/ep_rew_mean,5000.0,68938.234375,19387.931640625,39260.859375,47077.30859375,38131.9375,42559.254296875,17914.059710965947
10,rollout/ep_rew_mean,5500.0,69242.7734375,19956.89453125,40164.54296875,48606.19921875,39033.125,43400.70703125,17847.061524473917
11,rollout/ep_rew_mean,6000.0,68895.84375,21490.421875,41823.66796875,50804.56640625,40625.58203125,44728.01640625,17221.057935462184
12,rollout/ep_rew_mean,6500.0,69418.21875,22458.7421875,42122.27734375,51961.78125,41275.03515625,45447.2109375,17131.701400661183
13,rollout/ep_rew_mean,7000.0,70425.890625,24345.458984375,43363.23828125,53543.23046875,42338.59765625,46803.283203125,16878.80079632952
14,rollout/ep_rew_mean,7500.0,70777.171875,24910.771484375,44710.671875,54322.78515625,43554.5234375,47655.184765625,16747.21691695746
15,rollout/ep_rew_mean,8000.0,71246.609375,26373.794921875,45149.0859375,55375.5546875,45059.83203125,48640.975390625,16410.47266140246
16,rollout/ep_rew_mean,8500.0,71611.5546875,27998.734375,46716.43359375,57202.48046875,46595.03125,50024.846875,16010.646799177717
17,rollout/ep_rew_mean,9000.0,72142.25,29555.89453125,47500.2421875,58458.09375,48792.125,51289.72109375,15645.85314070572
18,rollout/ep_rew_mean,9500.0,73057.7734375,30976.9765625,48042.375,59547.57421875,50956.45703125,52516.23125,15474.030803552481
19,rollout/ep_rew_mean,10000.0,74617.203125,33142.1875,48529.44921875,60610.51953125,53959.4296875,54171.7578125,15277.41342247945
